"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0013681,Vonage Canada Corporation,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Kitchener,Ontario,
CI-0018198,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Shawinigan,Quebec,
CI-0052615,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Coquitlam,British Columbia,
CI-0028574,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Kelowna,British Columbia,
CI-0004909,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Jasper,Alberta,
CI-0085612,Rogers Communications,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0067959,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,White Rock ,British Columbia,
CI-0003277,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Markham,Ontario,
CI-0029610-PT,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Calgary ,Alberta,
CI-0009410,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Montreal,Quebec,
CI-0074708,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Montréal,Quebec,
CI-0049576,Shaw,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Langley,British Columbia,
CI-0027940,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Edmonton,Alberta,
CI-0027940,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Edmonton,Alberta,
CI-0027940,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton,Alberta,
CI-0022877,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,North York,Ontario,
CI-0043125,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0007993,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0068182,Koodo,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary,Alberta,
CI-0056252,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Manotick,Ontario,
CI-0069687,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Victoria,British Columbia,
CI-0074531,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Mississauga,Ontario,
CI-0002098,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Lethbridge,Alberta,
CI-0066930,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Laval,Quebec,
CI-0046519,Koodo,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Penetanguishene,Ontario,
CI-0087441,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Newmarket,Ontario,
CI-0087441,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Newmarket,Ontario,
CI-0085401,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Milton,Ontario,
CI-0010208,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Charters Settlement,New Brunswick,
CI-0041762,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Woodbridge,Ontario,
CI-0014280,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Prince George,British Columbia,
CI-0017654,Eastlink,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sydney,Nova Scotia,
CI-0017654,Eastlink,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Sydney,Nova Scotia,
CI-0042956,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Tracadie-Sheila,New Brunswick,
CI-0098327,Shaw Direct,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Alert Bay ,British Columbia,
CI-0087707,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Brooklyn,Nova Scotia,
CI-0013048,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0036743,Bell MTS,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Winnipeg,Manitoba,
CI-0036743,Bell MTS,TV,Service Delivery,Service not working,Intermittent service,Consumer,Winnipeg,Manitoba,
CI-0066524,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Aurora,Ontario,
CI-0038158,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Vancouver,British Columbia,
CI-0073838,Fido,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Peterborough ,Ontario,
CI-0033424,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,regina ,Saskatchewan,
CI-0087042,Bell Canada,Local exchange and VoIP services (including calling features),Credit Management,3rd party credit reporting,,Consumer,Oshawa,Ontario,
CI-0009594,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,Cambridge,Ontario,
CI-0007214,Public Mobile,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Halifax,Nova Scotia,
CI-0066524,Rogers Communications,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Aurora,Ontario,
CI-0014765,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sudbury,Ontario,
CI-0045623,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,EDMONTON,Alberta,
CI-0096963,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,newmarket,Ontario,
CI-0057983,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Onoway,Alberta,
CI-0004102,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,London,Ontario,
CI-0022010,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Markham,Ontario,
CI-0046003,Fido,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Winnipeg,Manitoba,
CI-0053927,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Nepean,Ontario,
CI-0036258,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,PO BOX BOX 68 ILE-A-LA-CROSSE SK S0M1C0 CANADA,Saskatchewan,
CI-0052744,Fido,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ottawa,Ontario,
CI-0019279,Rogers Communications,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Waterloo,Ontario,
CI-0025326-PT,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bowmanville,Ontario,
CI-0084642,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Plantagenet ,Ontario,
CI-0015560,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Maple,Ontario,
CI-0060784,Shaw,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burnaby,British Columbia,
CI-0051367,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Richmond Hill,Ontario,
CI-0097431,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Moncton ,New Brunswick,
CI-0041501,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Edmonton,Alberta,
CI-0051529,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cambridge,Ontario,
CI-0051529,Rogers Communications,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cambridge,Ontario,
CI-0099683,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,OSHAWA L1L1C8,Ontario,
CI-0099683,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,OSHAWA L1L1C8,Ontario,
CI-0033367,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0097515,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,LaSalle,Quebec,
CI-0081382,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,White Rock ,British Columbia,
CI-0056949,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Small Business,Toronto,Ontario,
CI-0091303,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Surrey,British Columbia,
CI-0005987,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Waterdown,Ontario,
CI-0010619,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Kitchener,Ontario,
CI-0097074,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Lévis,Quebec,
CI-0018008,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Lasalle,Quebec,
CI-0073323,Fizz,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Gatineau,Quebec,
CI-0081076,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0081076,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Surrey,British Columbia,
CI-0087006,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Winnipeg,Manitoba,
CI-0008402,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Langford,British Columbia,
CI-0049808,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Blenheim,Ontario,
CI-0082716,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Nepean,Ontario,
CI-0029121,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary,Alberta,
CI-0096351,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,gatineau,Quebec,
CI-0082661,Primus,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Windsor,Ontario,
CI-0030318,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,West Vancouver,British Columbia,
CI-0008280,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Lasalle,Quebec,
CI-0038236,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Shawnigan lake,British Columbia,
CI-0001878,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Waterloo,Ontario,
CI-0006340,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Paquetville,New Brunswick,
CI-0025826-PT,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Toronto,Ontario,
CI-0021062,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Small Business,Delta,British Columbia,
CI-0085632,Altima Telecom,TV,Service Delivery,Service not working,Intermittent service,Consumer,Drummondville,Quebec,
CI-0085632,Altima Telecom,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Drummondville,Quebec,
CI-0034118,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,North Gower,Ontario,
CI-0098353,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,stratford,Prince Edward Island,
CI-0098436,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saint John,New Brunswick,
CI-0026068,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga ,Ontario,
CI-0068186,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Mississauga,Ontario,
CI-0068186,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Mississauga,Ontario,
CI-0087534,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Toronto,Ontario,
CI-0015092,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,CALGARY,Alberta,
